{'text': 'the LEF/TCF family One of the target genes for beta catenin/TCF encodes c MYC explaining why constitutive activation of the WNT pathway can lead to cancer particularly in the colon Most colon cancers arise from mutations in the gene encoding [E1] adenomatous polyposis coli [\\E1] APC a protein required for ubiquitin mediated degradation of beta catenin but a small percentage of colon and some other cancers harbour beta catenin stabilizing mutations Recently we discovered that transgenic mice expressing an activated beta catenin are predisposed', 'mention_data': {'kb_id': 'D011125', 'candidates': ['D011125', 'C566778', 'D018256', 'C563924', 'C562730', 'D008949', 'C090876', 'C563250', 'D025601', 'C031511', 'D018262', 'D000238', 'C000671802', 'C407009', 'C062351', 'C111578', 'C061075', 'C000613192', 'C000645531', 'D017188', 'C048567', 'C000623798', 'C000699842', 'D018196', 'D000236', 'D017157', 'C017991', 'C538110', 'C526457', 'C018446', 'C538265', 'C055772', 'C017990', 'C011626', 'C022571', 'C018444', 'C027800', 'C000699812', 'C022570', 'C030812', 'C015651', 'C542391', 'C524259', 'C018775', 'D000235', 'C000691299', 'D044483', 'C000647324', 'C503443', 'C049300', 'C026520', 'C520193', 'C406809', 'C000662092', 'C000662061', 'D000261', 'D062788', 'C000640097', 'C538232', 'C000662013', 'C000647651', 'D018194', 'C000661085', 'C044618']}}
{'text': 'absence of the A form of acid lipase Amniotic fluid cells from patient 2 showed normal levels of acid lipase with all substrates tested the electrophoretic pattern of acid lipase was normal The results suggest that the prenatal diagnosis of [E1] Wolman disease [\\E1] be made using the radioassay of acid lipase and/or electrophoresis', 'mention_data': {'kb_id': 'D015223', 'candidates': ['D015223', 'C536567', 'C536739', 'C536528', 'C562924', 'C536696', 'C536751', 'C536693', 'C579754', 'D020421', 'C536694', 'D014842', 'D014845', 'C537718', 'D010049', 'C535810', 'D056784', 'D014899', 'D007818', 'D008232', 'C536275', 'C538011', 'C535874', 'C536299', 'D020163', 'C567089', 'C537738', 'C562901', 'D012466', 'C537740', 'C537490', 'D000072281', 'C536393', 'C536697', 'D010038', 'D008180', 'C537168', 'C000730747', 'D009302', 'D014515', 'C535944', 'C566210', 'C537047', 'D000090862', 'C540309', 'C563477', 'D020852', 'C566575', 'C536292', 'D008193', 'C563789', 'D053447', 'D020435', 'D020961', 'C536457', 'C567878', 'D017624', 'D000307', 'D000088102', 'D006623', 'C567156', 'D010900', 'C536990', 'D006111']}}
{'text': 'result of underexpression of dystrophin Cytogenetic analysis revealed normal karyotypes eliminating the possibility of a translocation affecting DMD gene function Both linkage analysis and DNA fingerprint analysis revealed that each twin has two different X chromosomes eliminating the possibility of [E1] uniparental disomy [\\E1] as a mechanism for DMD expression On the basis of methylation differences of the paternal and maternal X chromosomes in these MZ twins we propose uneven lyonization X chromosome inactivation as the underlying mechanism for disease expression in the', 'mention_data': {'kb_id': 'D024182', 'candidates': ['D024182', 'C536471', 'C536470', 'D058670', 'C538043', 'D014314', 'C535488', 'D009006', 'C538028', 'C538041', 'C536799', 'C536468', 'C536794', 'C536469', 'C537108', 'C538021', 'C537942', 'C537762', 'C538292', 'D057891', 'C538044', 'D004171', 'C535455', 'C538299', 'C535372', 'C536581', 'C566553', 'D002883', 'C538314', 'D058533', 'C535366', 'D009630', 'D033481', 'C537941', 'C536335', 'C538039', 'D022221', 'D002877', 'D002869', 'D026801', 'D002894', 'D004476', 'C567585', 'D059007', 'C537814', 'D022222', 'D000782', 'C537637', 'C535489', 'C537298', 'D058674', 'C538318', 'D002901', 'D002888', 'C567810', 'C536498', 'D002906', 'C538313', 'C538317', 'D002885', 'C538297', 'D002903', 'D011110', 'D041322']}}
{'text': 'Coincident Kaposi sarcoma and T cell lymphoma in a patient with the Wiskott Aldrich syndrome A 24 year old male with a history of [E1] eczema [\\E1] recurrent mild infections and thrombocytopenia consistent with the Wiskott Aldrich syndrome WAS presented with a mediastinal mass generalized lymphadenopathy splenomegaly and severe thrombocytopenia Studies of immune function including immunoglobulin levels and T cell subsets were normal Furthermore his T', 'mention_data': {'kb_id': 'D004485', 'candidates': ['D004485', 'D011146', 'D004473', 'D004438', 'C565528', 'D017443', 'D003876', 'D004646', 'C565065', 'C536190', 'D004474', 'C536182', 'C536183', 'C566592', 'D004487', 'D004476', 'C564538', 'C566519', 'D000799', 'D017700', 'C565067', 'D065134', 'D007968', 'D007511', 'C565057', 'C565062', 'C565799', 'D007918', 'C565068', 'C538018', 'D004475', 'D004890', 'D011693', 'D008637', 'D008209', 'D004886', 'C536180', 'D004806', 'C565606', 'C538015', 'C567411', 'D008545', 'D004938', 'D004618', 'D018219', 'D004818', 'C536189', 'D012595', 'D054179', 'C563852', 'D015440', 'D004820', 'C566347', 'C000598644', 'C538016', 'D005350', 'D008269', 'D020803', 'C565064', 'D004617', 'C535500', 'D012516', 'D016889', 'D009450']}}
{'text': 'Coincident Kaposi sarcoma and T cell lymphoma in a patient with the Wiskott Aldrich syndrome A 24 year old male with a history of eczema recurrent mild infections and [E1] thrombocytopenia [\\E1] consistent with the Wiskott Aldrich syndrome WAS presented with a mediastinal mass generalized lymphadenopathy splenomegaly and severe thrombocytopenia Studies of immune function including immunoglobulin levels and T cell subsets were normal Furthermore his T lymphocytes proliferated normally in response', 'mention_data': {'kb_id': 'D013921', 'candidates': ['D013921', 'C564053', 'C564050', 'D013924', 'C566060', 'D013915', 'C564051', 'D000095542', 'D013927', 'C566596', 'C536899', 'C567163', 'C564771', 'D054098', 'D019851', 'C567353', 'C567347', 'C567348', 'D013925', 'D010198', 'C023161', 'C535424', 'D034061', 'C564532', 'C567341', 'D013922', 'C567737', 'D013923', 'C567581', 'C540694', 'D016769', 'D000090882', 'C564539', 'D016553', 'C566056', 'D017131', 'D011696', 'D009503', 'D057049', 'D020246', 'D002542', 'D018219', 'D000085142', 'D011086', 'D010689', 'D011697', 'D007947', 'C567487', 'D007938', 'D013926', 'C564237', 'C536519', 'C564052', 'C566057', 'C536944', 'C100174', 'C566025', 'D006648', 'C002297', 'D013931', 'C567260', 'D000072716', 'D054070', 'C564525']}}
{'text': 'T cell lymphoma in a patient with the Wiskott Aldrich syndrome A 24 year old male with a history of eczema recurrent mild infections and thrombocytopenia consistent with the Wiskott Aldrich syndrome WAS presented with a mediastinal mass generalized lymphadenopathy [E1] splenomegaly [\\E1] and severe thrombocytopenia Studies of immune function including immunoglobulin levels and T cell subsets were normal Furthermore his T lymphocytes proliferated normally in response to phytohemagglutinin concanavalin A and the combination of neuraminidase/galactose oxidase However their proliferative responses to', 'mention_data': {'kb_id': 'D013163', 'candidates': ['D013163', 'C566666', 'C536094', 'D006971', 'C563028', 'D013158', 'D014400', 'D017890', 'D003920', 'D016888', 'C537318', 'D013591', 'C562761', 'C567552', 'D000796', 'D004802', 'C535792', 'D011371', 'C564863', 'D001775', 'C563339', 'C563424', 'C562487', 'D013159', 'C535952', 'D004916', 'C563869', 'D014654', 'C535786', 'D013584', 'D013589', 'C535795', 'D006413', 'C563425', 'D006411', 'C535782', 'C535785', 'C563825', 'D008883', 'C566507', 'D009215', 'D005885', 'C567202', 'D014381', 'C566645', 'C567340', 'D006410', 'D013160', 'C565705', 'C535954', 'C536481', 'C535784', 'C567286', 'C564299', 'C563959', 'D059267', 'C565730', 'C535799', 'D003923', 'C566395', 'C564484', 'C567208', 'D005356', 'D059289']}}
{'text': 'in a patient with the Wiskott Aldrich syndrome A 24 year old male with a history of eczema recurrent mild infections and thrombocytopenia consistent with the Wiskott Aldrich syndrome WAS presented with a mediastinal mass generalized lymphadenopathy splenomegaly and severe [E1] thrombocytopenia [\\E1] Studies of immune function including immunoglobulin levels and T cell subsets were normal Furthermore his T lymphocytes proliferated normally in response to phytohemagglutinin concanavalin A and the combination of neuraminidase/galactose oxidase However their proliferative responses to anti CD43 antibody', 'mention_data': {'kb_id': 'D013921', 'candidates': ['D013921', 'C564053', 'C564050', 'D013915', 'C566060', 'C564051', 'D013924', 'D000095542', 'D013927', 'C567163', 'C567347', 'C567353', 'D019851', 'C536899', 'C567348', 'C564771', 'D054098', 'C566596', 'D010198', 'C535424', 'C567737', 'C567341', 'C540694', 'C567581', 'D034061', 'D013923', 'D013925', 'C566056', 'D016769', 'C023161', 'C564532', 'C564539', 'D013922', 'D016553', 'D000090882', 'D011696', 'D009503', 'D017131', 'D057049', 'C566057', 'D002542', 'D000085142', 'D011697', 'D020246', 'D018219', 'C000719196', 'D054070', 'C564237', 'C567260', 'C536944', 'D007938', 'D007947', 'C566025', 'C564525', 'D006648', 'C537592', 'C567487', 'C564526', 'C565969', 'C100174', 'D010689', 'C536519', 'D011086', 'C536901']}}
{'text': 'Iron dependent self assembly of recombinant yeast frataxin implications for [E1] Friedreich ataxia [\\E1] Frataxin deficiency is the primary cause of Friedreich ataxia FRDA an autosomal recessive cardiodegenerative and neurodegenerative disease Frataxin is a nuclear encoded mitochondrial protein that is widely conserved among eukaryotes Genetic inactivation of the yeast frataxin homologue Yfh1p results', 'mention_data': {'kb_id': 'D005621', 'candidates': ['D005621', 'C564999', 'C538061', 'C564657', 'D001259', 'C566247', 'C565932', 'C564105', 'C531684', 'C536407', 'C565933', 'C564020', 'D020754', 'C563818', 'C580065', 'C537197', 'C567459', 'D002524', 'C567436', 'C564802', 'C566993', 'C537396', 'C564446', 'C565188', 'C537313', 'C564395', 'C535995', 'C565258', 'C565930', 'C565850', 'C535523', 'C564698', 'C535393', 'C537308', 'C536181', 'C563753', 'D020211', 'C567478', 'C535633', 'C566956', 'C565864', 'C566969', 'C535350', 'D001260', 'C562774', 'D020513', 'C566865', 'C563278', 'C535640', 'C563134', 'C535672', 'C567207', 'C535506', 'C537192', 'C566601', 'C537583', 'D004402', 'C566594', 'C537311', 'C537310', 'C565779', 'C565604', 'C567425', 'C537312']}}
{'text': 'Iron dependent self assembly of recombinant yeast frataxin implications for Friedreich ataxia Frataxin deficiency is the primary cause of [E1] Friedreich ataxia [\\E1] FRDA an autosomal recessive cardiodegenerative and neurodegenerative disease Frataxin is a nuclear encoded mitochondrial protein that is widely conserved among eukaryotes Genetic inactivation of the yeast frataxin homologue Yfh1p results in mitochondrial iron accumulation and hypersensitivity to oxidative stress', 'mention_data': {'kb_id': 'D005621', 'candidates': ['D005621', 'C564999', 'C538061', 'C564657', 'D001259', 'C566247', 'C565932', 'C564105', 'C565933', 'C531684', 'C564020', 'C580065', 'C536407', 'D002524', 'D020754', 'C537197', 'C564802', 'C537313', 'C566993', 'C567436', 'C565188', 'C567459', 'C537396', 'C564698', 'D020211', 'C535393', 'C537308', 'C563818', 'C564395', 'C535523', 'C565864', 'C567478', 'C565930', 'C535995', 'C563278', 'C535350', 'C566956', 'C563753', 'C566969', 'C565258', 'C566601', 'C535506', 'C565850', 'C563134', 'C535633', 'C567207', 'C537311', 'C536181', 'C566865', 'C564446', 'C537310', 'D001260', 'C537192', 'C562774', 'C567425', 'C537312', 'C565779', 'C535672', 'C565865', 'C564815', 'C564697', 'C566669', 'C537583', 'C537309']}}
{'text': 'Regionally clustered APC mutations are associated with a severe phenotype and occur at a high frequency in new mutation cases of [E1] adenomatous polyposis coli [\\E1] Germline mutation in APC at 5q21 22 results in the dominantly inherited syndrome adenomatous polyposis coli APC Somatic mutation in this gene is an early event in colorectal tumourigenesis Both types of mutation are concentrated in the 5 half', 'mention_data': {'kb_id': 'D011125', 'candidates': ['D011125', 'C566778', 'D018256', 'C563924', 'C090876', 'C562730', 'D025601', 'C563250', 'D008949', 'C061075', 'C031511', 'C000647651', 'C062351', 'C407009', 'D018262', 'C538265', 'C000640096', 'C017991', 'C000613192', 'C048567', 'C520193', 'C000645531', 'C000647324', 'C010671', 'C018446', 'C022571', 'C018775', 'C026520', 'C018444', 'D000238', 'D017188', 'C022570', 'C030812', 'C000671802', 'C011626', 'D018196', 'C017990', 'C015651', 'C044618', 'C000623798', 'C526457', 'C019606', 'C016964', 'C456561', 'C028533', 'C049300', 'C000675466', 'C055772', 'C538110', 'C049518', 'C000640097', 'C524259', 'C030359', 'C080528', 'C566775', 'C519454', 'C027800', 'C018445', 'D044483', 'C045650', 'C566310', 'C538232', 'C010840', 'C018808']}}
{'text': 'Regionally clustered APC mutations are associated with a severe phenotype and occur at a high frequency in new mutation cases of adenomatous polyposis coli Germline mutation in APC at 5q21 22 results in the dominantly inherited syndrome [E1] adenomatous polyposis coli [\\E1] APC Somatic mutation in this gene is an early event in colorectal tumourigenesis Both types of mutation are concentrated in the 5 half of exon 15 We have used single strand conformational polymorphism SSCP and heteroduplex analysis to screen', 'mention_data': {'kb_id': 'D011125', 'candidates': ['D011125', 'C566778', 'D018256', 'C563924', 'C090876', 'D008949', 'C562730', 'D025601', 'C563250', 'D000236', 'D018262', 'C062351', 'C538265', 'C000613192', 'D017188', 'C520193', 'D018196', 'C000671802', 'C010671', 'D062788', 'D000238', 'C061075', 'C538232', 'C022571', 'C018444', 'C407009', 'C000623798', 'C030812', 'C031511', 'C022570', 'C030359', 'C017991', 'C080528', 'D018194', 'C049518', 'C015651', 'C538110', 'C000640096', 'C048567', 'C566865', 'C055772', 'C564876', 'C566775', 'C028533', 'C026520', 'C538234', 'C566311', 'D000235', 'D044483', 'D000257', 'C040818', 'C526457', 'C000682606', 'C426043', 'C018775', 'C018196', 'C521078', 'C049517', 'C566614', 'C019606', 'C011626', 'C538230', 'C041881', 'D000261']}}
{'text': 'Analysis of [E1] alkaptonuria [\\E1] AKU mutations and polymorphisms reveals that the CCC sequence motif is a mutational hot spot in the homogentisate 1 2 dioxygenase gene HGO We recently showed that alkaptonuria AKU is caused by loss of function mutations in the homogentisate', 'mention_data': {'kb_id': 'D000474', 'candidates': ['D000474', 'C531762', 'C000643913', 'D000471', 'D006960', 'D000077548', 'C565960', 'C564570', 'C076019', 'C580039', 'D011191', 'C548044', 'D010661', 'D000137', 'D014813', 'C537851', 'C567425', 'C000688891', 'C536081', 'D000608', 'C000641441', 'C000648747', 'D000417', 'D006947', 'C552638', 'C562890', 'C563010', 'D000141', 'D007715', 'C000651756', 'C565446', 'C535322', 'C574100', 'D002128', 'C000651755', 'C567260', 'D019896', 'C567317', 'C000648718', 'C537592', 'C567067', 'C536006', 'C536587', 'C567145', 'C000646930', 'D009503', 'C567748', 'C565969', 'C565428', 'D056807', 'C000652014', 'C535815', 'D026681', 'C000648708', 'D000071496', 'D015467', 'C535702', 'C000648728', 'C562645', 'D000472', 'C536586', 'C000648746', 'D005494', 'C536654']}}
{'text': 'Analysis of alkaptonuria AKU mutations and polymorphisms reveals that the CCC sequence motif is a mutational hot spot in the homogentisate 1 2 dioxygenase gene HGO We recently showed that [E1] alkaptonuria [\\E1] AKU is caused by loss of function mutations in the homogentisate 1 2 dioxygenase gene HGO Herein we describe haplotype and mutational analyses of HGO in seven new AKU pedigrees These analyses identified two novel single nucleotide polymorphisms INV4', 'mention_data': {'kb_id': 'D000474', 'candidates': ['D000474', 'C531762', 'C000643913', 'D006960', 'C580039', 'C565960', 'C564570', 'D000608', 'D011191', 'D000471', 'D000077548', 'D010661', 'D007715', 'C000688891', 'C537851', 'C536081', 'C076019', 'D006947', 'D000417', 'D022124', 'D005166', 'D000756', 'C567145', 'D000137', 'C562890', 'D014813', 'C548044', 'D006951', 'C535322', 'D019896', 'D054880', 'D000550', 'C536006', 'D056807', 'C536586', 'C563010', 'C000651755', 'D002128', 'D018798', 'C536654', 'C536587', 'D000071496', 'D000326', 'C567425', 'D050010', 'C566640', 'D000419', 'C567067', 'D009503', 'C567260', 'C537592', 'D006959', 'D009212', 'D001206', 'C537099', 'C567748', 'C562678', 'D026681', 'C000651756', 'C565446', 'D000141', 'C000648708', 'C565969', 'C567192']}}
{'text': 'Overgrowth of oral mucosa and facial skin a novel feature of [E1] aspartylglucosaminuria [\\E1] Aspartylglucosaminuria AGU is a lysosomal storage disorder caused by deficiency of aspartylglucosaminidase AGA The main symptom is progressive mental retardation A spectrum of different mutations has been reported in this disease one missense mutation Cys163Ser being responsible for the', 'mention_data': {'kb_id': 'D054880', 'candidates': ['D054880', 'C038676', 'C587254', 'C047698', 'C531959', 'C531027', 'C538402', 'C511444', 'C113781', 'C081990', 'C089494', 'C038177', 'C038175', 'C108022', 'C113892', 'C526794', 'C000603754', 'C038176', 'C519689', 'C024990', 'C064104', 'C017033', 'C532437', 'C088568', 'C092837', 'C547682', 'C043192', 'C089491', 'C062387', 'C115495', 'C541171', 'C527501', 'C063429', 'C037224', 'C000615951', 'C084743', 'C096131', 'C476837', 'C436497', 'C554758', 'C528802', 'C569383', 'C039081', 'C101533', 'C104904', 'C071943', 'C108849', 'C000624172', 'C519115', 'C551341', 'C073613', 'D000119', 'C022198', 'D001227', 'C067151', 'C041117', 'C474978', 'C431583', 'C114519', 'C084900', 'C054122', 'C526603', 'C544600', 'C055069']}}
{'text': 'Overgrowth of oral mucosa and facial skin a novel feature of aspartylglucosaminuria [E1] Aspartylglucosaminuria [\\E1] AGU is a lysosomal storage disorder caused by deficiency of aspartylglucosaminidase AGA The main symptom is progressive mental retardation A spectrum of different mutations has been reported in this disease one missense mutation Cys163Ser being responsible for the majority', 'mention_data': {'kb_id': 'D054880', 'candidates': ['D054880', 'C038676', 'C538402', 'C587254', 'C047698', 'C531959', 'C113781', 'C531027', 'C064104', 'C511444', 'C038177', 'C038175', 'C037224', 'C081990', 'C038176', 'C519689', 'C089494', 'C562670', 'C113892', 'C063429', 'C554758', 'D000119', 'C565706', 'C108022', 'C000624172', 'C041117', 'C536561', 'C526794', 'C579867', 'D008258', 'C565968', 'C547682', 'D009212', 'C047489', 'C527501', 'C022198', 'C000603754', 'C000615951', 'C062387', 'C089491', 'C088568', 'C040416', 'C096131', 'C532437', 'C000156', 'C564049', 'C039081', 'D001227', 'C092837', 'C024990', 'C563693', 'C115495', 'C054122', 'C037058', 'D000361', 'D005916', 'C017033', 'C084900', 'C043192', 'D014537', 'C113485', 'D006457', 'C563305', 'C528802']}}
{'text': 'for AGA was performed on 15 oral specimens Skin was seborrhoeic in adolescent and adult patients with erythema of the facial skin already common in childhood Of 44 patients nine 20 had facial angiofibromas tumours primarily occurring in association with [E1] tuberous sclerosis [\\E1] Oedemic buccal mucosa leucoedema and gingival overgrowths were more frequent in AGU patients than in controls p 0 001 Of 16 oral mucosal lesions studied histologically 15 represented fibroepithelial or epithelial hyperplasias and were reactive in nature Cytoplasmic vacuolisation', 'mention_data': {'kb_id': 'D014402', 'candidates': ['D014402', 'C535358', 'C537526', 'C562973', 'C566021', 'D012598', 'D009103', 'C564449', 'C535888', 'C563852', 'C565346', 'D015209', 'C564750', 'C537521', 'D008180', 'D015422', 'C537525', 'D011020', 'C026082', 'D001161', 'D020528', 'D012595', 'C562824', 'D004535', 'D014652', 'C565722', 'C537524', 'D017445', 'C537267', 'C563276', 'D014382', 'D008171', 'C564583', 'D056784', 'C536790', 'D008174', 'D007968', 'C537523', 'C000634609', 'D014898', 'C536053', 'D008173', 'D055009', 'C536170', 'D018459', 'C537998', 'D058226', 'C535540', 'C565593', 'D006560', 'C536954', 'D016583', 'C538457', 'C565941', 'C567034', 'C566759', 'D056647', 'D006816', 'D013206', 'D015218', 'C000704152', 'C000637939', 'D047868', 'D004684']}}
